controller,scenario,evaluation_seed,state_estimation_mode,latency_compensation,initial_state_fingerprint,initial_command_fingerprint,push_schedule_fingerprint,state_age_mean_ms,state_age_p95_ms,state_age_max_ms,compensation_horizon_p95_ms,compensation_applied_ratio,compensation_rejected_ratio,action_delay_steps,state_delay_steps,sensor_noise_scale,state_estimator_seed,base_mass_scale,damping_scale,friction_scale,actuator_strength_scale,success,episode_steps,episode_duration_s,velocity_rmse_mps,pitch_rmse_deg,max_abs_pitch_deg,height_rmse_mm,normalized_torque_rms,mean_abs_mechanical_power_w,torque_saturation_ratio,residual_action_rms,residual_action_delta_rms,mean_residual_longitudinal_force_n,mean_residual_vertical_force_n,four_wheel_contact_ratio,undesired_contact_steps,mean_reward,solve_p95_ms,raw_position_estimation_rmse_m,control_position_estimation_rmse_m,raw_pitch_estimation_rmse_deg,control_pitch_estimation_rmse_deg,raw_velocity_estimation_rmse_mps,control_velocity_estimation_rmse_mps
D1 LQR+VMC,randomized,121,estimated,none,d39bd7d6e4156a84ac798c2ba364ce72ccb56762e1fca885463c25fb2660c3c9,b5debe969d1df6635d50c0383ced2b7758db1a66006d8efd3190a9a9c1c36602,e74abfcf5d2888ed35bda0e0bbd69a0013e29c645b0978ad7c12047430415168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1673411449,1.0392194779402963,0.934056113211154,1.1857691697504076,0.9661443790880642,1,600,6.0,0.1656531769109512,0.7353777036730531,2.2784718611138692,7.397233952807271,0.21481079346415297,68.48464128558776,0.0,0.0,0.0,0.0,0.0,0.995,0,3.877328261924669,0.0,0.0,0.0,0.0,0.0,2.3610851037238527e-16,2.3610851037238527e-16
D1 MPC+VMC,randomized,121,estimated,none,d39bd7d6e4156a84ac798c2ba364ce72ccb56762e1fca885463c25fb2660c3c9,b5debe969d1df6635d50c0383ced2b7758db1a66006d8efd3190a9a9c1c36602,e74abfcf5d2888ed35bda0e0bbd69a0013e29c645b0978ad7c12047430415168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1673411449,1.0392194779402963,0.934056113211154,1.1857691697504076,0.9661443790880642,1,600,6.0,0.15433733602704697,0.9737363637170828,2.6388330999314733,7.08652946453815,0.2136379902578104,48.66921457617209,0.0,0.0,0.0,0.0,0.0,0.995,0,3.927048295963148,0.7328020001295953,0.0,0.0,0.0,0.0,3.1714994256421253e-16,3.1714994256421253e-16
D1 LQR+VMC,randomized,122,estimated,none,4939655211662136312f0d60be5991e6de7a0e3a8d5888564c413cae0aa11159,a43e284a8bda7a9c6b9537304ee476b45e291d3a0f641aee8d330f83a4caf286,0ac108ad83c5b4564a9c2bd7a8ac18297598c870a57f1bf13cd279d9fa2ab6bd,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,68735084,1.0815775669389267,0.8790308005009635,0.8954298945162347,0.8918624637657828,1,600,6.0,0.16854347878626877,0.6219590384389234,1.597962835577631,10.951228883015386,0.21883034507158636,91.3453131233542,0.0,0.0,0.0,0.0,0.0,0.9983333333333333,0,3.7453592105685,0.0,0.0,0.0,0.0,0.0,3.9231164886670646e-16,3.9231164886670646e-16
D1 MPC+VMC,randomized,122,estimated,none,4939655211662136312f0d60be5991e6de7a0e3a8d5888564c413cae0aa11159,a43e284a8bda7a9c6b9537304ee476b45e291d3a0f641aee8d330f83a4caf286,0ac108ad83c5b4564a9c2bd7a8ac18297598c870a57f1bf13cd279d9fa2ab6bd,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,68735084,1.0815775669389267,0.8790308005009635,0.8954298945162347,0.8918624637657828,1,600,6.0,0.1666836286229489,0.8673697317792615,2.0820423757301834,11.26554479293657,0.21586577319813435,69.79914605753474,0.0,0.0,0.0,0.0,0.0,0.9983333333333333,0,3.777148525551071,0.4302637986256741,0.0,0.0,0.0,0.0,5.019019504150086e-16,5.019019504150086e-16
D1 LQR+VMC,randomized,123,estimated,none,e1de0b30c29aac00209b92881bf98b35135e9f14ccd3bf431b1151e046ff0159,ad1ef676cd7e09b56d4738ddf875ae6abd6c6381fbff77aa832cc7df0175445b,18a5bce62fcd1b36732f66780d452f4821fcbf64e65a49fc799f24a8371bb98a,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1101595663,1.0501174099145916,0.8242194584610002,0.7932339173021974,0.8868743621397339,1,600,6.0,0.2311228154916435,0.9173496684791829,2.612182250085309,7.0304379790251685,0.25220762753872333,253.278276139258,0.0,0.0,0.0,0.0,0.0,0.845,0,3.6528987827813135,0.0,0.0,0.0,0.0,0.0,5.136245809636402e-16,5.136245809636402e-16
D1 MPC+VMC,randomized,123,estimated,none,e1de0b30c29aac00209b92881bf98b35135e9f14ccd3bf431b1151e046ff0159,ad1ef676cd7e09b56d4738ddf875ae6abd6c6381fbff77aa832cc7df0175445b,18a5bce62fcd1b36732f66780d452f4821fcbf64e65a49fc799f24a8371bb98a,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1101595663,1.0501174099145916,0.8242194584610002,0.7932339173021974,0.8868743621397339,1,600,6.0,0.23220530603520215,1.1571481446089382,2.9461848219477513,10.317825186836131,0.26926839401898234,305.0827936323275,0.0,0.0,0.0,0.0,0.0,0.8033333333333333,0,3.6392495478029914,0.44483428719104257,0.0,0.0,0.0,0.0,6.00266399752589e-16,6.00266399752589e-16
D1 LQR+VMC,randomized,124,estimated,none,c4121cc0c0a69aabfd8ae1f418eae18e4284d8a31398041202c4fb76e5d1aa3f,56dcc03527552d4dd3b093e8f05fd103a605ca22ee3f8a654938347405d3380a,a85b709e1fdc1b0823b30c2fa7c166a006f2820a8e539668905a13a8f28a6e38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,710665679,1.072755685088562,1.1536367108867953,1.2799384113898542,0.9996119545819131,1,600,6.0,0.2587612480648197,0.9284828880106151,2.506513557561274,4.4679227202970155,0.22034654683082355,104.08635585699085,0.0,0.0,0.0,0.0,0.0,0.9966666666666667,0,3.7341813602882907,0.0,0.0,0.0,0.0,0.0,6.339366327501738e-16,6.339366327501738e-16
D1 MPC+VMC,randomized,124,estimated,none,c4121cc0c0a69aabfd8ae1f418eae18e4284d8a31398041202c4fb76e5d1aa3f,56dcc03527552d4dd3b093e8f05fd103a605ca22ee3f8a654938347405d3380a,a85b709e1fdc1b0823b30c2fa7c166a006f2820a8e539668905a13a8f28a6e38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,710665679,1.072755685088562,1.1536367108867953,1.2799384113898542,0.9996119545819131,1,600,6.0,0.2638538120117173,1.3125583103420309,3.3756545295747498,4.664038325105968,0.22227090020277662,103.85959940783859,0.0,0.0,0.0,0.0,0.0,0.9916666666666667,0,3.741889631426869,0.40755329755484127,0.0,0.0,0.0,0.0,7.163631463826107e-16,7.163631463826107e-16
D1 LQR+VMC,randomized,125,estimated,none,a7eb2addfedb958e6c479c2e257faf7f1782da4417b9bdc24c31232d38fc4988,bb4ef951ef18a309bcca5309ea323c4c8c1ecdbb3c39d1610cb072140f7e44e6,914d75774ba30c6a56db54679375ccfaadd459c7c0aa1f292f25b6e19d80084a,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1310839343,1.0873848863921922,1.0221424887299229,0.9036051544398931,0.8859215154175284,1,600,6.0,0.15770786952806268,0.5915746719565316,1.7273812021650514,7.354002587989613,0.2184164114240913,78.5025201887113,0.0,0.0,0.0,0.0,0.0,0.9966666666666667,0,3.8616825444563947,0.0,0.0,0.0,0.0,0.0,3.992783102617924e-16,3.992783102617924e-16
D1 MPC+VMC,randomized,125,estimated,none,a7eb2addfedb958e6c479c2e257faf7f1782da4417b9bdc24c31232d38fc4988,bb4ef951ef18a309bcca5309ea323c4c8c1ecdbb3c39d1610cb072140f7e44e6,914d75774ba30c6a56db54679375ccfaadd459c7c0aa1f292f25b6e19d80084a,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1310839343,1.0873848863921922,1.0221424887299229,0.9036051544398931,0.8859215154175284,1,600,6.0,0.16499359927710427,0.8610165734438726,2.3689077900907263,7.911771127193722,0.21757910640569111,61.966350911116216,0.0,0.0,0.0,0.0,0.0,0.9966666666666667,0,3.8440111813115223,0.3967000942793675,0.0,0.0,0.0,0.0,3.434225538792372e-16,3.434225538792372e-16
