time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/clip_range,train/policy_gradient_loss,train/value_loss,train/std,train/approx_kl,train/clip_fraction,train/n_updates,train/explained_variance,train/learning_rate,train/entropy_loss,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
1,128,0,232,,,,,,,,,,,,,
2,256,1,232,0.2,-0.023600776679813862,0.07830352429300547,0.13531510531902313,0.03467136,0.2265625,4,0.33468687534332275,0.0003,4.649113893508911,-0.014077913016080856,,
3,384,1,237,0.2,-0.011336132418364286,0.07406237814575434,0.13530665636062622,0.019215543,0.103515625,8,-0.443517804145813,0.0003,4.649865388870239,-0.0010850131511688232,,
4,512,2,238,0.2,-0.020301449112594128,0.06809489615261555,0.1353016197681427,0.019185947,0.09375,12,-0.208451509475708,0.0003,4.650353908538818,-0.018599506467580795,,
5,640,2,240,0.2,-0.00457599526271224,0.05606900621205568,0.13527633249759674,0.0139842145,0.08203125,16,-0.29032111167907715,0.0003,4.650969982147217,0.0052921827882528305,,
6,768,3,240,0.2,-0.010054779471829534,0.056323493365198374,0.135258287191391,0.0111476295,0.056640625,20,-0.9186023473739624,0.0003,4.652517557144165,-0.008508014492690563,,
7,896,3,241,0.2,-0.005411255639046431,0.04669881984591484,0.13523834943771362,0.0116251055,0.05859375,24,-1.0040147304534912,0.0003,4.653510212898254,-0.0005487129092216492,,
8,1024,4,242,0.2,-0.008060609456151724,0.040480074007064104,0.1352388560771942,0.0063337637,0.01953125,28,-1.4031798839569092,0.0003,4.654404282569885,-0.008729234337806702,,
9,1152,4,243,0.2,-0.002925323322415352,0.03194665862247348,0.13525733351707458,0.005075156,0.005859375,32,-0.4851830005645752,0.0003,4.653921842575073,-0.0024050455540418625,,
10,1280,5,244,0.2,-0.0015933560207486153,0.029090528609231114,0.1352653056383133,0.005957363,0.01171875,36,-0.5452547073364258,0.0003,4.652908205986023,-0.0002516317181289196,,
11,1408,5,245,0.2,-0.008350807474926114,0.026576538337394595,0.1352529525756836,0.009736565,0.04296875,40,-1.6910274028778076,0.0003,4.652943015098572,-0.013109985738992691,,
12,1536,6,245,0.2,-0.0032460452057421207,0.0230210917070508,0.13521592319011688,0.011734815,0.056640625,44,-1.1628661155700684,0.0003,4.6542147397994995,-0.002097015269100666,,
13,1664,6,245,0.2,-0.010648929513990879,0.019549005664885044,0.13519468903541565,0.010435538,0.052734375,48,-1.176788330078125,0.0003,4.656282544136047,-0.01643882691860199,,
14,1792,7,245,0.2,-0.0020956378430128098,0.017042575404047966,0.13519564270973206,0.0105182305,0.04296875,52,-1.0677146911621094,0.0003,4.656943321228027,-0.001099694985896349,,
15,1920,7,245,0.2,-0.004559277440421283,0.013720354065299034,0.1352120041847229,0.005183161,0.017578125,56,-1.4480180740356445,0.0003,4.656589984893799,-0.009396709501743317,,
16,2048,8,245,0.2,-0.019682740326970816,0.010745800100266933,0.13523679971694946,0.014117802,0.064453125,60,-0.7651952505111694,0.0003,4.65541684627533,-0.03572102636098862,,
17,2176,8,245,0.2,-0.0026244414038956165,0.010433592949993908,0.13525372743606567,0.013360675,0.072265625,64,-2.9169609546661377,0.0003,4.653988599777222,-0.002646195702254772,,
